Date,Open,High,Low,Close,Volume,Adj Close,Drawdown
2007-01-02,14173.2,14381.1,14157.3,14364.4,184400,14364.4,0.0
2007-01-03,14383.2,14396.6,14307.7,14375.1,199400,14375.1,0.0
2007-01-04,14299.0,14382.4,14231.2,14382.4,214600,14382.4,0.0
2007-01-05,14290.8,14390.5,14286.1,14304.7,227600,14304.7,-0.005402436311046865
2007-01-08,14312.8,14380.6,14290.3,14322.3,214400,14322.3,-0.004178718433641149
2007-01-09,14376.5,14417.5,14288.2,14311.5,236200,14311.5,-0.004929636222049227
2007-01-10,14236.7,14239.4,14065.7,14116.1,253400,14116.1,-0.01851568583824681
2007-01-11,14183.2,14328.8,14105.2,14328.8,238600,14328.8,-0.0037267771720993492
2007-01-12,14302.3,14373.7,14292.8,14368.2,193200,14368.2,-0.0009873178329068422
2007-01-15,14414.3,14455.7,14411.9,14416.7,167200,14416.7,0.0
2007-01-16,14415.9,14482.6,14314.6,14355.6,182400,14355.6,-0.0042381404898487185
2007-01-17,14367.7,14408.2,14233.0,14295.0,196800,14295.0,-0.008441598978962017
2007-01-18,14354.1,14383.5,14221.0,14265.3,211800,14265.3,-0.01050170982263643
2007-01-19,14239.4,14398.3,14182.0,14397.9,213200,14397.9,-0.001304043227645768
2007-01-22,14416.2,14500.4,14351.7,14359.7,173800,14359.7,-0.003953748083819542
2007-01-23,14354.6,14394.2,14304.7,14368.6,159600,14368.6,-0.003336408470731911
2007-01-24,14419.3,14560.2,14415.8,14540.7,200600,14540.7,0.0
2007-01-25,14567.7,14605.6,14490.6,14537.3,182200,14537.3,-0.0002338264320150829
2007-01-26,14486.5,14486.9,14377.5,14415.4,177000,14415.4,-0.008617191744551445
2007-01-29,14403.1,14512.4,14391.7,14507.0,148000,14507.0,-0.002317632576148254
2007-01-30,14492.0,14564.1,14459.8,14553.4,162000,14553.4,0.0
2007-01-31,14523.9,14580.3,14450.0,14553.2,193200,14553.2,-1.3742493162993696e-05
2007-02-01,14637.5,14656.9,14570.9,14571.5,211000,14571.5,0.0
2007-02-02,14573.3,14631.2,14545.3,14631.2,166200,14631.2,0.0
2007-02-05,14602.9,14625.9,14559.0,14616.7,171000,14616.7,-0.000991032861282659
2007-02-06,14653.2,14743.8,14644.6,14703.2,215600,14703.2,0.0
